,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
0,A Beautiful Day in the Neighborhood,2019,N/A,22 Nov 2019,108 min,"Biography, Drama",Marielle Heller,"Micah Fitzerman-Blue, Noah Harpster","Tom Hanks, Christine Lahti, Matthew Rhys, Susan Kelechi Watson",Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.,English,"USA, China",N/A,https://m.media-amazon.com/images/M/MV5BZDM3MTAzYTUtYmFiYi00Yzg0LTk4NGMtYzNkYTkxOWI1YjZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,6.9,584,tt3224458,movie,N/A,N/A,Sony Pictures,N/A,True,
0,Bad Guys: The Movie,2019,N/A,20 Sep 2019,114 min,"Action, Crime",Yong-ho Son,Jung-hoon Han,"Dong-seok Ma, Sang-Jung Kim, Ah-jung Kim, Jang Ki-Yong",A bus transporting the inmates is flipped resulting in the felons escaping. In order to round up and once again incarcerate the criminals the cops form a special task force that needs to ...,Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BNTM1YzA4NzEtMzdiMy00NzRiLTk0ZTctMDYzMjE3NzYzOGE4XkEyXkFqcGdeQXVyODM3MDgwNTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,91,tt10726604,movie,N/A,N/A,N/A,N/A,True,
0,The Art of Racing in the Rain,2019,PG,09 Aug 2019,109 min,"Comedy, Drama, Romance, Sport",Simon Curtis,"Mark Bomback (screenplay by), Garth Stein (novel)","Milo Ventimiglia, Amanda Seyfried, Kevin Costner, Kathy Baker","Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.","English, Italian",USA,N/A,https://m.media-amazon.com/images/M/MV5BZjU5ZTYzM2MtNDNhYi00YjU1LWE4MzEtODc0NmNlODZlMjlhXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,7.5,"5,892",tt1478839,movie,29 Oct 2019,N/A,20th Century Fox,N/A,True,
0,Brightburn,2019,R,24 May 2019,90 min,"Drama, Horror, Mystery, Sci-Fi",David Yarovesky,"Brian Gunn, Mark Gunn","Elizabeth Banks, David Denman, Jackson A. Dunn, Abraham Clinkscales","What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjc0YzM2ZjItNzE3OS00NTRhLTkyNTUtMjY5Y2Y5NTU3OWI0XkEyXkFqcGdeQXVyNjU2NTI4MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.2,"50,885",tt7752126,movie,06 Aug 2019,N/A,Screen Gems,N/A,True,
0,UglyDolls,2019,PG,03 May 2019,87 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical",Kelly Asbury,"Alison Peck (screenplay by), Robert Rodriguez (story by), David Horvath (based on the Uglydoll characters by), Sun-min Kim (based on the Uglydoll characters by), Guoqing Liu (additional writing by), Vivian Wang (additional writing by)","Pitbull, Ice-T, Kelly Clarkson, Blake Shelton","An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most.",English,"China, Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTc0NjE2ODM2OV5BMl5BanBnXkFtZTgwMjQyNDUzNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,4.8,"3,491",tt1946502,movie,16 Jul 2019,N/A,STXfilms,N/A,True,
0,Stuber,2019,R,12 Jul 2019,93 min,"Action, Comedy, Crime, Thriller",Michael Dowse,Tripper Clancy,"Dave Bautista, Kumail Nanjiani, Mira Sorvino, Natalie Morales",A detective recruits his Uber driver into an unexpected night of adventure.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGE1ZjFhYzAtYWM4ZC00NGI1LWFmYzMtZWRhZDhjMjE4YzBjXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.2,"19,727",tt7734218,movie,01 Oct 2019,N/A,20th Century Fox,N/A,True,
0,The Kid Who Would Be King,2019,PG,25 Jan 2019,120 min,"Action, Adventure, Family, Fantasy",Joe Cornish,Joe Cornish,"Louis Ashbourne Serkis, Denise Gough, Dean Chaumoo, Tom Taylor",A band of kids embark on an epic quest to thwart a medieval menace.,English,"UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BZjk1ZDE0ZDMtYmIxOC00ZmIwLThiOWQtMDFmYjc5ZjQzYTNlXkEyXkFqcGdeQXVyNjIxMTQ4OTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.0,"10,619",tt6811018,movie,16 Apr 2019,N/A,20th Century Fox,N/A,True,
0,Anna,2019,R,21 Jun 2019,119 min,"Action, Thriller",Luc Besson,Luc Besson (screenplay),"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy",Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,"English, Russian, French",France,N/A,https://m.media-amazon.com/images/M/MV5BZjE4M2FjMDQtZGQ5Mi00YTliLWIwZmMtZGJkMjgxYTY5ZTlmXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.6,"27,966",tt7456310,movie,10 Sep 2019,N/A,Summit Entertainment,N/A,True,
0,No manches Frida 2,2019,R,15 Mar 2019,102 min,Comedy,Nacho G. Velilla,"Claudio Herrera, David S. Olivas, Sergio 'Venado' Sanchez","Martha Higareda, Omar Chaparro, Itatí Cantoral, Aarón Díaz",Zequi tries to regain Lucy's love by bringing the school's team to victory.,Spanish,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmU0ZDI1MDctODBiZi00ZTg3LWFiZmUtMmFkMzYyYzc4ZDkxXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}]",N/A,3.9,605,tt9019352,movie,18 Jun 2019,N/A,Pantelion Films,N/A,True,
0,Missing Link,2019,PG,12 Apr 2019,93 min,"Animation, Adventure, Comedy, Family, Fantasy",Chris Butler,Chris Butler (screenplay by),"Hugh Jackman, David Walliams, Stephen Fry, Matt Lucas","Mr. Link recruits explorer Sir Lionel Frost to help find his long-lost relatives in the fabled valley of Shangri-La. Along with adventurer Adelina Fortnight, this trio of explorers travel the world to help their new friend.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMWFmNWZmZWYtMWM3OC00YTYyLWIxNDMtOTRjNzhiYWQ0MDIwXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.7,"9,149",tt6348138,movie,09 Jul 2019,N/A,Annapurna Pictures,N/A,True,
0,"The Gangster, the Cop, the Devil",2019,Not Rated,15 May 2019,109 min,"Action, Crime, Drama",Won-Tae Lee,"Won-Tae Lee (based on screenplay by), Won-Tae Lee (based on the film by), Won-Tae Lee","Dong-seok Ma, Mu-Yeol Kim, Kim Sungkyu",A crime boss teams up with a cop to track down a serial killer.,"Korean, English","South Korea, USA",N/A,https://m.media-amazon.com/images/M/MV5BZmJmY2QyMTAtYzEwMy00MzkzLTgzMjQtOWZlZDgwMDJmYTcyXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.9,"2,621",tt10208198,movie,01 Oct 2019,N/A,Well Go USA Entertainment,N/A,True,
0,Total Dhamaal,2019,Not Rated,22 Feb 2019,130 min,"Action, Adventure, Comedy",Indra Kumar,"Paritosh Painter, Ved Prakash, Bunty Rathore","Ajay Devgn, Madhuri Dixit, Anil Kapoor, Riteish Deshmukh",A group of people learn about a hidden treasure and then they race to find it and claim it.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMTdiN2Q2MGUtYWRjMi00M2Y2LWEzOTYtOTA3NjNiMGMzNmFhXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,4.3,"4,689",tt7639372,movie,N/A,N/A,N/A,N/A,True,
0,Gully Boy,2019,Not Rated,14 Feb 2019,153 min,"Drama, Music",Zoya Akhtar,"Zoya Akhtar, Reema Kagti, Vasundhara Koshy (Script Supervisor), Vijay Maurya (Dialogue)","Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz",A coming-of-age story based on the lives of street rappers in Mumbai.,Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BZDkzMTQ1YTMtMWY4Ny00MzExLTkzYzEtNzZhOTczNzU2NTU1XkEyXkFqcGdeQXVyODY3NjMyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,8.2,"21,974",tt2395469,movie,N/A,N/A,Excel Entertainment,N/A,True,
0,Booksmart,2019,R,24 May 2019,102 min,Comedy,Olivia Wilde,"Emily Halpern, Sarah Haskins, Susanna Fogel, Katie Silberman","Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis","On the eve of their high school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.","English, Mandarin, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjEzMjcxNjA2Nl5BMl5BanBnXkFtZTgwMjAxMDM2NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.3,"43,508",tt1489887,movie,20 Aug 2019,N/A,United Artists,N/A,True,
0,Late Night,2019,R,14 Jun 2019,102 min,"Comedy, Drama",Nisha Ganatra,Mindy Kaling (screenplay by),"Emma Thompson, Mindy Kaling, John Lithgow, Hugh Dancy",A late night talk show host suspects that she may soon lose her long-running show.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjZmOTEwMGEtOWVmMy00Njg4LWI1OGEtMGYwN2VmYzJiYzAzXkEyXkFqcGdeQXVyODE1MjMyNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.5,"12,177",tt6107548,movie,06 Sep 2019,N/A,Amazon Studios,N/A,True,
0,Black and Blue,2019,R,25 Oct 2019,108 min,"Action, Crime, Drama, Thriller",Deon Taylor,Peter A. Dowling,"Naomie Harris, Mike Colter, Frank Grillo, Reid Scott",A rookie New Orleans police officer is forced to balance her identity as a black woman after she witnesses two corrupt cops committing murder.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmZhZmQ1YjYtMmZkZC00ZTIxLTg5YTctMDczZGJmZTllYjBkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,5.6,"1,272",tt7390646,movie,N/A,N/A,Screen Gems,N/A,True,
0,21 Bridges,2019,R,22 Nov 2019,99 min,"Action, Crime, Drama, Thriller",Brian Kirk,"Adam Mervis (screenplay), Matthew Michael Carnahan (screenplay), Adam Mervis (story)","Chadwick Boseman, J.K. Simmons, Sienna Miller, Taylor Kitsch",An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTg4YzEzNDQtZDAxOS00M2YyLTljZWEtNjk4YTc4NDM2NTBhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.4,183,tt8688634,movie,N/A,N/A,STXfilms,N/A,True,
0,The Good Liar,2019,R,15 Nov 2019,109 min,Drama,Bill Condon,"Jeffrey Hatcher, Nicholas Searle (novel)","Helen Mirren, Ian McKellen, Russell Tovey, Jóhannes Haukur Jóhannesson","Career con artist Roy Courtnay can hardly believe his luck when he meets well-to-do widow Betty McLeish online. As Betty opens her home and life to him, Roy is surprised to find himself ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2VhNTY5ZTUtYzc1NC00NjUyLWI1NDQtYWE3YmJlNjQ3OGVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.0,141,tt5563334,movie,N/A,N/A,New Line Cinema,N/A,True,
0,Shaft,2000,R,16 Jun 2000,99 min,"Action, Crime, Thriller",John Singleton,"Ernest Tidyman (novel), John Singleton (story), Shane Salerno (story), Richard Price (screenplay), John Singleton (screenplay), Shane Salerno (screenplay)","Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale",New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,"English, German, Spanish","Germany, USA",1 win & 13 nominations.,https://m.media-amazon.com/images/M/MV5BYmJhNWMyOTUtZjgwZS00YzdjLTk1MmMtODJlOTExMDQ3MDU5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.9,"69,960",tt0162650,movie,12 Dec 2000,"$70,334,258",Paramount Pictures,N/A,True,
0,Jojo Rabbit,2019,PG-13,08 Nov 2019,108 min,"Comedy, Drama, War",Taika Waititi,"Christine Leunens (novel), Taika Waititi (screenplay)","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi",A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,"English, German","Czech Republic, New Zealand",N/A,https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,8.1,"9,553",tt2584384,movie,N/A,N/A,Fox Searchlight Pictures,N/A,True,
0,The Peanut Butter Falcon,2019,PG-13,23 Aug 2019,97 min,"Adventure, Comedy, Drama, Sport","Tyler Nilson, Michael Schwartz","Tyler Nilson, Michael Schwartz","Shia LaBeouf, Dakota Johnson, Zack Gottsagen, John Hawkes",Zak runs away from his care home to make his dream of becoming a wrestler come true.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWVmZGQ0MGYtMDI1Yy00MDkxLWJiYjQtMmZjZmQ0NDFmMDRhXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.9,"7,929",tt4364194,movie,05 Nov 2019,N/A,Roadside Attractions,N/A,True,
0,Hotel Mumbai,2018,R,29 Mar 2019,123 min,"Drama, History, Thriller",Anthony Maras,"John Collee, Anthony Maras","Amandeep Singh, Suhail Nayyar, Manoj Mehra, Dinesh Kumar",The true story of the Taj Hotel terrorist attack in Mumbai. Hotel staff risk their lives to keep everyone safe as people make unthinkable sacrifices to protect themselves and their families.,"English, Hindi, Punjabi, Marathi, Greek, Russian, Arabic, Urdu, Persian","Australia, USA, UK, India, Singapore",1 win.,https://m.media-amazon.com/images/M/MV5BYTJlZWY2YjYtZGIxMy00MDEwLTliNzMtZGM3MDQ1NzlmNDY1XkEyXkFqcGdeQXVyNDY2MjcyOTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.6,"34,467",tt5461944,movie,18 Jun 2019,N/A,Bleecker Street,N/A,True,
0,The Farewell,2019,PG,09 Aug 2019,100 min,"Comedy, Drama",Lulu Wang,Lulu Wang,"Shuzhen Zhao, Awkwafina, X Mayo, Hong Lu","A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies.","Mandarin, English, Japanese, Italian",USA,N/A,https://m.media-amazon.com/images/M/MV5BMWE3MjViNWUtY2VjYS00ZDBjLTllMzYtN2FkY2QwYmRiMDhjXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.0,"9,063",tt8637428,movie,29 Oct 2019,N/A,A24,N/A,True,
0,Unplanned,2019,R,29 Mar 2019,109 min,"Biography, Drama","Chuck Konzelman, Cary Solomon","Abby Johnson (based on the book ""Unplanned"" by), Chuck Konzelman (screenplay by), Cary Solomon (screenplay by)","Ashley Bratcher, Brooks Ryan, Robia Scott, Jared Lotz","All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjBiZjEwNDUtNGIzOS00NTI3LWI5OGMtZDZjMjZhZGNhZDhkXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '10/100'}]",10,5.8,"10,393",tt9024106,movie,13 Aug 2019,N/A,Pure Flix,N/A,True,
0,Peppa Celebrates Chinese New Year,2019,G,05 Feb 2019,81 min,"Animation, Family",Dapeng Zhang,"Ming Hao, Qingling Liu, Dapeng Zhang","Yun Liu, Michelle Wai, Yawen Zhu","Tang Yuan, Jiao Zi and their family enjoy Chinese New Year together, learning about traditions, and sharing Peppa Pig stories.",Mandarin,China,N/A,https://m.media-amazon.com/images/M/MV5BMjA0NDQ2ODAwOV5BMl5BanBnXkFtZTgwMDAxODAzNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]",N/A,3.4,42,tt9629026,movie,N/A,N/A,N/A,N/A,True,
0,Greta,2018,R,01 Mar 2019,98 min,"Drama, Mystery, Thriller",Neil Jordan,"Ray Wright (screenplay by), Neil Jordan (screenplay by), Ray Wright (story by)","Isabelle Huppert, Chloë Grace Moretz, Maika Monroe, Jane Perry",A young woman befriends a lonely widow who's harboring a dark and deadly agenda toward her.,"English, Hungarian, French, Korean","Ireland, USA",N/A,https://m.media-amazon.com/images/M/MV5BOTg0OTVjYjUtOWUzYS00YjJjLWI3NWItMmVjNTBlMTE2ODJlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.0,"17,013",tt2639336,movie,N/A,N/A,N/A,N/A,True,
0,Blinded by the Light,2019,PG-13,16 Aug 2019,118 min,"Comedy, Drama, Music",Gurinder Chadha,"Sarfraz Manzoor (screenplay), Gurinder Chadha (screenplay), Paul Mayeda Berges (screenplay), Sarfraz Manzoor (based on the book ""Greetings from Bury Park - Race. Religion. Rock 'N' Roll."" by), Bruce Springsteen (inspired by the words and music of)","Billy Barratt, Ronak Singh Chadha Berges, Viveik Kalra, Lee Barnett","In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star Bruce Springsteen.",English,"UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BZDUzNGYxZDAtZjVjZC00YzI2LTk3MTItNmE3NGQwOWQwZjJiXkEyXkFqcGdeQXVyMjcyMzI2OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.9,"9,241",tt8266310,movie,22 Oct 2019,N/A,New Line Cinema,N/A,True,
0,Always Miss You,2019,N/A,01 May 2019,98 min,Romance,"Hung-i Chen, Haozhou Qiu",Hung-i Chen,"Amber Kuo, Ryan Zheng, Dong-xue Li, Evonne Hsieh","With relationship fail after relationship fail, Xinyi (Amber Kuo) believes she's finally stumbled onto a good man; throwing herself into this new and potentially life changing relationship,...","Mandarin, English","China, Taiwan",N/A,https://m.media-amazon.com/images/M/MV5BODBlNmUzNTQtZWM1NS00ZjE3LWEwM2ItNjg3NDJjM2IzNTM2XkEyXkFqcGdeQXVyMjk1NzAxNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,7,tt10234494,movie,N/A,N/A,N/A,N/A,True,
0,Pavarotti,2019,PG-13,07 Jun 2019,114 min,"Documentary, Biography, Music",Ron Howard,"Cassidy Hartmann (consulting writer), Mark Monroe","Andrea Griminelli, Nicoletta Mantovani, Bono, Angela Gheorghiu","A look at the life and work of opera legend, Luciano Pavarotti.","English, Italian, Spanish, French, Russian","UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTgyMjk3MzE1MV5BMl5BanBnXkFtZTgwMzk2OTQ4NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.6,919,tt6964076,movie,24 Sep 2019,N/A,CBS Films,N/A,True,
0,Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,2019,N/A,14 Mar 2019,117 min,"Animation, Drama, Fantasy",Tomonori Sudô,Kinoko Nasu (manga),"Yu Asakawa, Mai Kadowaki, Hiroshi Kamiya, Ayako Kawasumi","The story focuses on the Holy Grail War and explores the relationship between Shirou Emiya and Sakura Matou, two teenagers participating in this conflict. The story continues immediately ...",N/A,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZjM0ZmIwNjEtNDE4YS00MDQ2LWI2ZTMtYTNkZmMwN2YyZmMwXkEyXkFqcGdeQXVyNzEyMDQ1MDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,505,tt8091892,movie,N/A,N/A,N/A,N/A,True,
0,Nothing to Lose 2,2019,PG-13,15 Aug 2019,100 min,"Biography, Drama","Alexandre Avancini, Sylvie Yarza","Emílio Boechat, Stephen P. Lindsey, Edir Macedo (book), Douglas Tavolaro (book)","Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh",Part 2 of Edir Macedo's self-financed biopic.,Portuguese,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BNzhlNzMxZTYtNWFkYi00NWE1LWFkMWYtNWExMjRkYjgwMDM0XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.3/10'}]",N/A,2.3,170,tt10738914,movie,N/A,N/A,N/A,N/A,True,
0,Tazza: One Eyed Jack,2019,N/A,20 Sep 2019,139 min,"Crime, Drama",Oh-Kwang Kwon,"Yeong-man Heo (comic), Oh-Kwang Kwon","Jung-min Park, Seung-bum Ryoo, Yu-hwa Choi, Je-Moon Yoon",Do Il-Chool (Park Jung-Min) has a talent for playing poker and he is the son of Jjakgwi. His father was a gambler and had one ear cut off after he was caught cheating. Il-Chool meets ...,Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BNTMwMTllZDctMTg5Mi00YzEzLWIxNzUtODVkNjIyMjU0ODliXkEyXkFqcGdeQXVyNTUxNTI3MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,90,tt10927906,movie,N/A,N/A,Well Go USA Entertainment,N/A,True,
0,Poms,2019,PG-13,10 May 2019,90 min,"Comedy, Drama, Sport",Zara Hayes,"Zara Hayes (story by), Shane Atkinson (story by), Shane Atkinson (screenplay by)","Diane Keaton, Jacki Weaver, Celia Weston, Alisha Boe","POMS is a comedy about a group of women who form a cheer leading squad at their retirement community, proving that you're never too old to 'bring it!'",English,"UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTk0ZmYwZjgtZWEwZi00MWEyLWFkZmItOTUzMmU5Y2Q5YTFjXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,5.7,"2,256",tt5125894,movie,23 Jul 2019,N/A,STXfilms,N/A,True,
0,Little Q,2019,N/A,15 Aug 2019,107 min,Drama,Wing-Cheong Law,Susan Chan,"Allie Chan, Ming Hu, J.J. Jia, Roger Kwok","Adapted from the Japanese novel Goodbye, Khoru","Mandarin, Cantonese","China, Hong Kong",N/A,https://m.media-amazon.com/images/M/MV5BN2YzZGZkNTQtOTkyMS00MTgwLWEzODgtYWEzNWVjY2JiOWE3XkEyXkFqcGdeQXVyNjgwNTk4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,40,tt10584272,movie,N/A,N/A,N/A,N/A,True,
